TSPAN6	6.80536886636571e-05
TNMD	0.00330442973157448
DPM1	0.00032213139507883
SCYL3	-2.07445366070025e-05
C1orf112	0.00113076769485457
FUCA2	0.000295459784178602
GCLC	0.00090031111041696
NFYA	-8.713648534146e-05
STPG1	0.000420675267378102
NIPAL3	-0.000325176236123893
LAS1L	0.000711416610942371
ENPP4	0.000329492665989356
SEMA3F	-0.000350708397892952
CFTR	0.000391585307399105
ANKIB1	0.000313274902905185
CYP51A1	0.000799327146742262
KRIT1	9.19778134166715e-05
RAD52	-0.000285295194088069
BAD	-0.000941059545843413
LAP3	0.000520813105561685
CD99	-0.00212932095558371
HS3ST1	-0.0013184746194303
MAD1L1	-0.000274872140841354
LASP1	-0.000608928769063324
SNX11	0.000513430345041597
TMEM176A	0.00196518012967993
M6PR	0.000803682032268557
KLHL13	0.000890621562516618
ICA1	0.00160739390643364
DBNDD1	0.00135186651472764
ALS2	2.67003144291587e-05
CASP10	0.00118063117295801
CFLAR	-0.00165533724173084
TFPI	-0.00223318971678452
NDUFAF7	0.00130936520845929
RBM5	-0.00101654535607004
MTMR7	0.00162295145326796
SLC7A2	0.000426170400573216
ARF5	-0.000463677086315175
SARM1	-5.99796035792105e-05
POLDIP2	4.66070442303754e-05
PLXND1	-0.000821736951962756
AK2	8.72721424046722e-05
FKBP4	0.000919119637179013
KDM1A	-0.00461142526564344
RBM6	-7.93499740277575e-05
CAMKK1	0.00114896292893402
RECQL	0.000323036412026637
VPS50	-3.03654176228956e-05
HSPB6	-0.0009550380005457
ARHGAP33	-0.000390019639126329
NDUFAB1	0.00031913071979902
ZMYND10	-0.00225544454340303
ARX	-0.00368870456237358
SLC25A13	0.000318794206440534
ST7	0.000441905433767141
CDC27	-0.000102900531787186
CALCR	-0.000244575302530335
HCCS	0.000609036474758229
DVL2	-0.000358000686860683
PRSS22	-0.00127780323193549
UPF1	4.52542046997838e-05
SKAP2	-0.000333798290508735
SLC25A5	0.000522591299566577
MCUB	0.00118509770828143
POLR2J	0.000151268511462243
DHX33	0.00140208442048538
MEOX1	-0.00387063660799114
THSD7A	-0.00105164845755866
LIG3	0.000399433744017496
RPAP3	0.000300189532659527
ACSM3	0.00107322077601993
REXO5	0.00047802394393707
CIAPIN1	0.000152517460336456
FAM214B	-0.0016845123523794
COPZ2	-0.00536439219894922
PRKAR2B	0.00148830446781015
MSL3	-0.000531506446700379
CREBBP	-5.98874408968031e-05
TSPOAP1	-0.000756956986046964
MPO	0.00151489744073951
GCFC2	0.000147228063569044
WDR54	-0.000231936511829795
CROT	-0.000757528828003548
KMT2E	-0.000340390261044342
RHBDD2	-0.000992296094139462
SOX8	3.84952690968908e-05
IBTK	-0.000392707682035024
ZNF195	0.00093902293941298
MYCBP2	0.000452328645186675
FBXL3	-0.000640037430153888
PDK2	-0.000403415654975942
ITGA3	-0.000708057177618294
ZFX	6.39814610993931e-05
LAMP2	-0.000546426996395645
ITGA2B	0.00112936407198694
